ano,mes,marca,zonas
2024,1,CARMEL,151
2024,1,LOGUIN,226
2024,1,PACIFIKA+RH,156
2024,2,CARMEL,151
2024,2,LOGUIN,224
2024,2,PACIFIKA+RH,159
2024,3,CARMEL,149
2024,3,LOGUIN,223
2024,3,PACIFIKA+RH,158
2024,4,CARMEL,149
2024,4,LOGUIN,218
2024,4,PACIFIKA+RH,157
2024,5,CARMEL,371
2024,5,LOGUIN,433
2024,5,PACIFIKA+RH,351
2024,6,CARMEL,371
2024,6,LOGUIN,360
2024,6,PACIFIKA+RH,333
2024,7,CARMEL,326
2024,7,LOGUIN,341
2024,7,PACIFIKA+RH,268
2024,8,CARMEL,259
2024,8,LOGUIN,223
2024,8,PACIFIKA+RH,344
2024,9,CARMEL,222
2024,9,LOGUIN,209
2024,9,PACIFIKA+RH,268
2024,10,CARMEL,330
2024,10,LOGUIN,211
2024,10,PACIFIKA+RH,154
2024,11,CARMEL,169
2024,11,LOGUIN,373
2024,11,PACIFIKA+RH,157
2024,12,CARMEL,147
2024,12,LOGUIN,210
2024,12,PACIFIKA+RH,150
2025,1,CARMEL,138
2025,1,LOGUIN,167
2025,1,PACIFIKA+RH,173
2025,2,CARMEL,135
2025,2,LOGUIN,214
2025,2,PACIFIKA+RH,217
2025,3,CARMEL,130
2025,3,LOGUIN,140
2025,3,PACIFIKA+RH,156
